id,lat,lon,tract_geoid,median_income_E,gini_index_E,pct_rental_E,pct_sf_homes_E,annual_loans_per_sf_home,annual_loans_per_mf_home,income_ratio_sf,pct_sf_purchase,pct_sf_refi,pct_sf_rehab,pct_sf_cashout,mean_rate,geometry
0127J00147000000,40.43612069,-79.91552145,42003140800,40923,0.5305,0.48910788381742737,0.6063278008298755,0.03165098374679213,1.0134792743488395e-4,3.0545170197688343,0.43451143451143454,0.4656964656964657,0,0.0997920997920998,3.4381976744186047,"c(-79.91552145, 40.43612069)"
0086M00151000B00,40.43724617,-79.9194053,42003140800,40923,0.5305,0.48910788381742737,0.6063278008298755,0.03165098374679213,1.0134792743488395e-4,3.0545170197688343,0.43451143451143454,0.4656964656964657,0,0.0997920997920998,3.4381976744186047,"c(-79.9194053, 40.43724617)"
0086L00080000000,40.4373077,-79.92113689,42003140800,40923,0.5305,0.48910788381742737,0.6063278008298755,0.03165098374679213,1.0134792743488395e-4,3.0545170197688343,0.43451143451143454,0.4656964656964657,0,0.0997920997920998,3.4381976744186047,"c(-79.92113689, 40.4373077)"
0541F00106000000,40.43985741,-79.81121019,42003520001,35179,0.4531,0.42353723404255317,0.7367021276595744,0.01798111635656762,3.885003885003885e-4,1.9613974245999033,0.5482625482625483,0.38223938223938225,0,0.0694980694980695,3.945309278350515,"c(-79.81121019, 40.43985741)"
0453H00215000000,40.42902402,-79.81974296,42003520001,35179,0.4531,0.42353723404255317,0.7367021276595744,0.01798111635656762,3.885003885003885e-4,1.9613974245999033,0.5482625482625483,0.38223938223938225,0,0.0694980694980695,3.945309278350515,"c(-79.81974296, 40.42902402)"
0454D00116000000,40.42298004,-79.81910988,42003520001,35179,0.4531,0.42353723404255317,0.7367021276595744,0.01798111635656762,3.885003885003885e-4,1.9613974245999033,0.5482625482625483,0.38223938223938225,0,0.0694980694980695,3.945309278350515,"c(-79.81910988, 40.42298004)"
0452D00227000000,40.44201839,-79.81942571,42003520001,35179,0.4531,0.42353723404255317,0.7367021276595744,0.01798111635656762,3.885003885003885e-4,1.9613974245999033,0.5482625482625483,0.38223938223938225,0,0.0694980694980695,3.945309278350515,"c(-79.81942571, 40.44201839)"
0452M00080000000,40.43612433,-79.81935536,42003520001,35179,0.4531,0.42353723404255317,0.7367021276595744,0.01798111635656762,3.885003885003885e-4,1.9613974245999033,0.5482625482625483,0.38223938223938225,0,0.0694980694980695,3.945309278350515,"c(-79.81935536, 40.43612433)"
0178G00083000000,40.41927178,-79.89074528,42003515300,16185,0.5538,0.6376195536663124,0.8799149840595112,0.008175399479747306,6.807351940095302e-4,3.5526722273710227,0.6818181818181818,0.2727272727272727,0,0.045454545454545456,3.9420238095238096,"c(-79.89074528, 40.41927178)"
0291K00026000000,40.50427775,-79.85839318,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.85839318, 40.50427775)"
