PARID,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
0727M00075000000,-0.7881648539110844,-0.28286646711223545,1.370745020215387,-0.8728630530943619,-0.4261385384260306,-0.41844963902770893,-1.8071241477291466,1.5974018032242479
0181A00146000000,-0.44531006781725607,-0.2264885876159936,0.02982400062587754,0.8954894085033006,0.11631083365961034,-0.4056983165152182,0.1632870431775465,0.0012377849278909503
0981N00211000000,-0.7868843074091184,-0.2523637080556331,0.9110467846220144,-0.8857191176668537,-0.6170070805271836,-0.7847361121986055,-0.43388456159245736,0.4475611093685674
0137C00218000000,-0.26124472667695353,-0.13773298511430981,0.04716693471549693,0.36560273348298883,-0.324529506503784,0.1854744636689043,0.7714094485247888,-0.6790024823166767
0301J00188000000,-0.025929039691043047,-0.18316032875161845,-1.678218334699972,0.2246779094994979,-0.3807217604084557,-0.1644260350225627,0.0458150557308081,-1.0442866776646136
1224E00219000000,-0.48059793642895643,-0.023157715596158694,-0.6524065519093675,0.1635197649718194,2.0102053984565044e-4,0.7684018513741018,-0.6400630157893403,-1.3171021628386597
0375H00274000000,0.010633444225002245,0.4440626670966938,-1.1759715967071644,-0.03183448872046132,-0.8833334570194765,0.08802832155274402,0.06200693808226743,0.10462107466066822
1224B00007000000,-0.5614132167438056,-0.15103081933185683,-0.2477278864390538,0.18253917401900502,0.04892812916990187,0.23382580723506388,-0.6125591324056652,-1.4087640286897474
0130S00223000000,-0.20107559917166837,-0.14842423734586346,-0.79482266449989325,0.9182592696271968,0.7961913830709584,0.4337932263167948,1.010132383860064,-1.2673706254092965
0516C00051000000,-0.20743373110867894,-0.08888414224931553,0.6983177414102766,-0.6844628856618631,-0.4381826152684707,0.563100088858022,0.5330933112243863,1.0187141044887744
0614R00258000000,-0.6355406598518585,-0.28206515780483876,1.150443214097671,-0.7841359583311387,-0.41189435491701937,-0.7741502117540678,0.01840782663736145,0.8402062956034666
1136A00209000000,-0.8454615698644521,-0.2960164622869188,0.7408081269658339,-0.9579893234365122,-0.5191887371426235,-0.5282727894439131,-1.1830137623910142,0.12726683997148552
0180D00199000000,-0.14436502752289507,-0.15590998952412186,-0.3174976457947901,0.011322219069478263,-0.5194210396990637,-0.3981236055407955,-0.24391816869244398,-0.36084214961600936
0181A00257000000,-0.43935194656686233,-0.25106867627049995,-1.3597757807854056e-4,0.7866806373706722,0.27923003163012466,-0.24823089122670813,0.22903287161937871,-0.6040051032624465
0188J00110000000,-0.1934838209793922,-0.037093959372724465,0.15184681607738787,0.34274856796934816,0.1118897066031036,1.2511323063982767,0.7554627514058807,0.34617658761948733
0421F00172000000,-0.43024873412654546,0.26460388993554307,1.1040131113518024,0.22435104826578184,0.1315713038958854,0.2675656697447968,-1.2060183112586873,0.48417998055752665
0299G00098000000,-0.1814555354028213,-0.30768666686005114,-1.1060201859834704,-0.18679496278557647,-0.08367214836703961,-0.5314707752117734,1.1611193911675435,0.2461247858679899
0111L00134000A00,-0.7248591461749369,-0.2753252136417017,0.5383695767622082,-0.458264882812493,-0.555880465271659,-0.5307902419965767,-0.7162209369751866,-1.2204104187254303
0188J00093000000,-0.18273884162886367,-0.019898135703434995,0.1386227301659902,0.4152837639812711,0.1403320656096072,1.2813435419893269,0.7979915881414611,-0.20847403304176135
0887L00163000000,-0.6307256292086109,-0.29313928991835814,0.29967788259735784,-0.6375995572177992,-0.3507466537381124,-0.38496917304493516,-1.1357937416598667,0.18354908839491785
0115D00185000000,1.5088413828020226,-0.38657156125281267,-1.0942873337136987,0.8649019361089625,-0.807686864125152,-0.3321429382978547,-1.115302477344806,-2.283645541909566
0181A00191000000,-0.41482300925723253,-0.2420101007533214,0.019060812167254998,1.0289276740690623,0.15799477234942147,-0.30833935937537926,0.10956441303416208,-1.744428584568909
0166J00025000000,-0.5082336126378362,-0.34282503694844513,0.6460927443354527,-0.5363381570055411,-0.1810514894433543,-0.6040692061964719,-0.4199396966060235,0.6343622904413659
1001A00069000000,-0.6183148243702015,-0.20897503530339612,-0.7145545285033146,0.02907425417969231,-0.6383618972431323,-0.4613274910025863,-1.0697446648528528,-0.9898044889645408
0180B00283000000,-0.3368757635102797,-0.22438743410228493,-0.1388628612980782,-0.07378028544445277,-0.42919643026789733,-0.5096374924923217,-0.10648646474304202,-0.6514851592136671
0218D00085000000,-0.5804575098445972,-0.3491523847761259,0.3980555507590855,-0.8629694997562194,-0.3393182514704255,-0.45575457699846744,-0.6565967064826933,0.090345113732227
0132P00237000000,-0.6044980516296131,-0.27697320906446804,0.1673488216897766,0.36438874947504113,-0.03449869513462819,-0.6536935034653721,0.17539408451789062,0.02426100214212325
1007C00042000000,-0.9291148105035554,-0.2929203662794549,1.013504837650808,-0.9518268426359224,-0.4669843937890892,-0.7935725541200667,-0.6638810374100929,0.20538839078175003
0133F00080000000,-0.5903842905377608,-0.25808154521137416,0.15071110983040947,0.25979900534986583,-0.19344844085545734,-0.690921860476077,0.26784551665385814,-0.33693616710868324
1223P00203000000,-0.28369331893773164,0.04046109070725814,-0.4454365298347643,-0.03695012824872514,-0.35696604086915423,0.5509682884680526,-0.803024495839281,-0.8368894333028657
0422P00303000000,-0.8151229882454573,-0.3246433457783886,1.0599973116443169,-0.6129071327814767,-0.20313654053410937,-0.5447658432162635,-1.060358492049583,0.3009173260320287
0130S00266000000,-0.16791374943256598,-0.15105578432741273,-0.9258236359811455,0.9850011081986905,0.7617012492909995,0.45865842174942273,1.078184184202986,-1.4135836518753189
0181F00012000000,-0.485755684173833,-0.2503681734284196,0.07159819501393314,0.5142781185554726,0.001423842279309341,-0.5448161601669663,0.1796545278310372,0.0018272198520233318
0132H00088000000,-0.4267515159050979,0.03736123086915846,0.10835021332076278,1.036811270480215,-0.08554788720222573,-0.1703102886262798,-0.2553941045781434,-0.13176157159793567
0215N00019000000,-0.683840237607714,-0.2337005482850838,0.14736531860982757,0.6827545654031694,0.25299788764610104,0.4798916214327573,0.2958888679006819,-0.30608879247672766
0663G00074000000,-0.6821810080676656,-0.25335331562726526,0.8184662819324564,-0.6986230494182052,-0.5926202782242592,-0.7220564585006505,-0.808148067652276,0.6164943720403823
0473E00021000000,-0.11317761617612454,-0.3063423823421436,0.6693065459285984,-0.5903856796795641,-0.5255941126161414,-0.3036846890323456,0.649234874049915,0.2805773855537817
0490C00003000000,-0.9210058710886011,-0.3087470148144286,1.5848221988365327,-0.7550229456352774,-0.6316714958365952,-0.6369221346633751,-0.8523825308450702,1.2194194833955494
