variable,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
access_walk_grocery,0.07497577715459902,-0.08000878541217465,0.011254496980634833,0.1526349330311285,-0.06984205132481974,0.6274474204461505,0.07638192849810926,0.025082923437890696
access_walk_school,-0.0843977626774227,0.09374888134182441,0.22365347259657103,0.8940887149944774,-0.10344026786328729,0.03450411717862249,0.11938757924525227,-0.031221126316974827
access_walk_park,0.1013761418425239,0.027028015987321564,-0.1892604286952891,0.42031612156109444,0.049507777974918704,0.0010133016288178774,0.04753520690965482,-0.16627152426656353
access_car_all_jobs,1.0490443640706786,-0.0193845243782874,0.07929736387657763,-0.11978609241679523,0.09633277654318251,-0.006910685540054948,-0.010840600823503074,0.0012673536121363704
access_car_hi_pay_jobs,1.0507862044048006,-0.027552791858770815,0.0854268243826236,-0.1270088836014856,0.105241833933544,-0.012040231502117903,-0.05754271321535796,-0.007126142590145213
access_car_lo_pay_jobs,1.0362191621698238,0.0021347889947451737,0.07654921587332758,-0.08846175954112381,0.054902306320500555,-0.004955963223233585,0.11698240785612282,0.023956372919268994
access_car_retail_jobs,0.6655490045652056,0.05188013210810849,0.03206679214069233,-0.08943062489631798,-0.015529621585896162,0.04285771163779087,0.43747180194132484,0.07485285476777404
access_car_entrnmt_jobs,1.0309390900800044,-0.01679053199563926,0.09043831533789518,-0.03843173987552713,0.05993361472911003,-0.07868530635372278,-0.14196144794190396,-0.009008577713607836
access_car_hosplty_jobs,1.0785198499341297,-0.01708881727008958,0.11402442178130089,-0.10933140110385403,0.0638362390699942,-0.018148178557002022,0.046540165842942835,0.01600942753962755
access_car_dest_parcels,0.8522350377407389,0.015234051453866783,-0.10838164851908832,0.08031300614259118,-0.020217605161744468,0.008425484425497995,0.11233227683215913,0.0258264838935901
access_car_grocery,0.5098818054118068,0.07200374745884214,-0.17678443135119087,0.04935821484730436,-0.15388005427989623,0.06693533833422435,0.5501404636573182,0.010490185983779779
access_car_school,0.7130801050904133,-0.00373754472250111,0.0800033798438696,0.24867862937232937,-0.054231140366708515,0.0209875538871232,0.34372090041095094,0.0458465361928126
access_car_park,0.671894404875866,0.03312648541564455,-0.16547922965716783,0.09750691693247565,-0.1189586476357289,0.07113531641375974,0.32125748309854935,-0.021828584138204918
access_transit_all_jobs,-0.03109935219822059,1.0279896228975827,-0.0073208577693309376,0.0980888266549247,-0.2311985997175843,0.029152381111654323,0.07015603743991218,0.05519042848903655
access_transit_hi_pay_jobs,-0.041493109499553565,1.0749765228517991,-0.02481568293836375,0.09776173960407165,-0.25058771226830395,-0.0877083074301411,0.07627456346530001,0.08670126942792232
access_transit_lo_pay_jobs,-0.00970659590299194,0.7884066315278264,0.04382392209455746,0.10439413031243232,-0.16851701944579794,0.37672932171448836,-0.011405790915374782,-0.008621559267323123
access_transit_retail_jobs,-0.05749460167709075,0.18433332259316584,0.01864626167166836,-0.0583218471922915,0.04898112405624081,0.7293720831808922,-0.09534933809339388,0.00872046780136632
access_transit_entrnmt_jobs,-0.04096867408292283,0.5162165346531932,0.015166380662032727,0.06044743713888105,0.011466626850089614,0.0581441316641895,-0.09880297940760022,0.03805737802655521
access_transit_hosplty_jobs,0.03613723007156714,0.5976979861061245,0.09071693172349012,-0.04122074313076096,-0.001591573715217704,0.3449691245002032,-0.069083941258435,-0.055869196835124195
access_transit_dest_parcels,0.18921915463120914,0.08613061433319241,-0.34793818013646816,0.31570572529743396,0.017298944415054453,0.1560890145201923,-0.25971685218575685,0.0235384802232477
access_transit_grocery,0.0828601971029807,-0.013411535111644522,0.05814077396899589,0.12735691436790328,-0.14897485131464241,0.4676886557081364,-0.06274314750893906,0.018898013341615817
access_transit_school,-0.08058656102300125,0.06551654812007617,0.18160501458017209,0.6399694199457202,-0.16522729167609937,0.11447296269320527,0.007619597801400106,-0.04605726717180749
access_transit_park,-0.005966695555452916,-0.004175934485423881,-0.14840917395007291,0.22803531362328075,0.004184223658750611,0.028269422197337815,-0.01271685911983057,-0.19622993851293935
total_value_log,0.07294395305360989,0.012463745223211607,1.0049399817312334,0.36299391889664134,-0.019534977356050896,-0.004948888417110921,-0.02323420135306247,-0.06549632103275511
